Sample,Attribute_type
A6_Ctrl.mzML,Control
A7_Ctrl.mzML,Control
A10_Ctrl.mzML,Control
A4_Ctrl.mzML,Control
A9_Ctrl.mzML,Control
A3_Ctrl.mzML,Control
A5_Ctrl.mzML,Control
A2_Ctrl.mzML,Control
A4_NPS.mzML,MPS
A3_H2O2.mzML,H2O2
A5_H2O2.mzML,H2O2
A8_Ctrl.mzML,Control
B1_Ctrl.mzML,Control
B2_Ctrl.mzML,Control
A1_H2O2.mzML,H2O2
A2_H2O2.mzML,H2O2
A4_H2O2.mzML,H2O2
A1_NPS.mzML,MPS
A10_H2O2.mzML,H2O2
A6_H2O2.mzML,H2O2
A5_NPS.mzML,MPS
A3_NPS.mzML,MPS
A2_NPS.mzML,MPS
A10_NPS.mzML,MPS
B4_Ctrl.mzML,Control
B10_Ctrl.mzML,Control
A1_Ctrl.mzML,Control
A9_H2O2.mzML,H2O2
B4_H2O2.mzML,H2O2
B5_Ctrl.mzML,Control
B1_H2O2.mzML,H2O2
A7_NPS.mzML,MPS
A7_H2O2.mzML,H2O2
A8_H2O2.mzML,H2O2
A8_NPS.mzML,MPS
B10_H2O2.mzML,H2O2
B2_H2O2.mzML,H2O2
A6_NPS.mzML,MPS
B10_NPS.mzML,MPS
A9_NPS.mzML,MPS
B7_Ctrl.mzML,Control
B9_Ctrl.mzML,Control
B3_Ctrl.mzML,Control
B6_Ctrl.mzML,Control
C2_Ctrl.mzML,Control
B5_H2O2.mzML,H2O2
B3_NPS.mzML,MPS
B5_NPS.mzML,MPS
B3_H2O2.mzML,H2O2
B7_NPS.mzML,MPS
B1_NPS.mzML,MPS
B6_H2O2.mzML,H2O2
B2_NPS.mzML,MPS
B4_NPS.mzML,MPS
B7_H2O2.mzML,H2O2
B6_NPS.mzML,MPS
C4_Ctrl.mzML,Control
C6_Ctrl.mzML,Control
C5_Ctrl.mzML,Control
B8_Ctrl.mzML,Control
C3_Ctrl.mzML,Control
C10_Ctrl.mzML,Control
C1_Ctrl.mzML,Control
C1_H2O2.mzML,H2O2
C10_H2O2.mzML,H2O2
C2_NPS.mzML,MPS
B9_H2O2.mzML,H2O2
B9_NPS.mzML,MPS
B8_NPS.mzML,MPS
C10_NPS.mzML,MPS
B8_H2O2.mzML,H2O2
C1_NPS.mzML,MPS
D3_Ctrl.mzML,Control
D2_Ctrl.mzML,Control
D1_Ctrl.mzML,Control
C7_Ctrl.mzML,Control
C8_Ctrl.mzML,Control
D10_Ctrl.mzML,Control
C4_H2O2.mzML,H2O2
C6_H2O2.mzML,H2O2
C8_H2O2.mzML,H2O2
C9_H2O2.mzML,H2O2
C3_NPS.mzML,MPS
C3_H2O2.mzML,H2O2
C5_H2O2.mzML,H2O2
C5_NPS.mzML,MPS
C2_H2O2.mzML,H2O2
C4_NPS.mzML,MPS
D4_Ctrl.mzML,Control
D6_Ctrl.mzML,Control
D5_Ctrl.mzML,Control
D3_NPS.mzML,MPS
D3_H2O2.mzML,H2O2
